Title,Location,Km,Body,Seats,Fuel,Engine,Transmission,Colour,Number of owners,Import,Wof,Reg,Final bid,Result,Link
 2000 Mazda MPV   Sport ,"Hamilton, Waikato ","   105,791km ",   RV/SUV ,   7 ,   Petrol ,,   Automatic ,    Red ,    2 owners , :   Imported ,    Feb 2022 ,    Expired ,"$2,500", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/mazda/mpv/listing/3294049374?rsqid=44fc51fa0dac4f7a96650e8ddd0c0422-001
 2012 Jaguar XF   S Luxury ,"Napier, Hawke's Bay ","   140,342km ",   Sedan ,   5 ,   Diesel ,,   Automatic ,    Grey ,, :   NZ New ,    Jan 2022 ,    Dec 2021 ,"$17,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/jaguar/xf/listing/3284558762?rsqid=44fc51fa0dac4f7a96650e8ddd0c0422-001
 2004 Hyundai Elantra GL  GL  ,"Hamilton, Waikato ","   234,569km ",   Hatchback ,,   Petrol ,,   Manual ,    Red ,    5+ owners , :   NZ New ,    Jul 2022 ,    This month ,"$1,610", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/hyundai/elantra/listing/3294051935?rsqid=44fc51fa0dac4f7a96650e8ddd0c0422-001
 2001 Mitsubishi Airtrek   2WD ,"Hamilton, Waikato ","   206,363km ",   RV/SUV ,,   Petrol ,,   Automatic ,    Silver ,    2 owners , :   Imported ,    This month ,    This month ,"$1,800", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/mitsubishi/airtrek/listing/3294054438?rsqid=44fc51fa0dac4f7a96650e8ddd0c0422-001
 2003 Kia Sorento   4WD ,"Hamilton, Waikato ","   167,892km ",   Station Wagon ,,   Petrol ,,,    Silver ,    5+ owners , :   NZ New ,    Nov 2021 ,    Expired ,"$3,500", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/kia/sorento/listing/3294056342?rsqid=44fc51fa0dac4f7a96650e8ddd0c0422-001
 2006 Nissan Fairlady   Z ,"North Shore, Auckland ","   175,751km ",   Coupe ,   2 ,   Petrol ,,   Automatic ,    Silver ,    4 owners , :   Imported ,    Expired ,    Feb 2022 ,"$8,300", Reserve met ,https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/3284564278?rsqid=44fc51fa0dac4f7a96650e8ddd0c0422-001
 2007 BMW 320i 320I  320I  ,"Hamilton, Waikato ","   117,127km ",   Sedan ,,   Petrol ,,   Automatic ,    Silver ,    4 owners , :   NZ New ,    Mar 2022 ,    This month ,"$4,350", Reserve met ,https://www.trademe.co.nz/a/motors/cars/bmw/320i/listing/3294057895?rsqid=44fc51fa0dac4f7a96650e8ddd0c0422-001
 2006 Ford   Tran ,"Wellington City, Wellington ","   320,000km ",   RV/SUV ,   12 ,   Diesel ,,   Manual ,    White ,, :   Imported ,    Nov 2021 ,    Dec 2021 ,"$6,170", Reserve met ,https://www.trademe.co.nz/a/motors/cars/ford/transit/listing/3284012173?rsqid=9e30950b1f6f47ef8b977b046071afe5-001
 2004 Ford F150 ,"Taupo, Waikato ","   217,710km ",   Other ,,   Petrol ,,   Automatic ,    Blue ,, :   Imported ,    Apr 2022 ,    Mar 2022 ,"$36,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/ford/f150/listing/3290810464?rsqid=9e30950b1f6f47ef8b977b046071afe5-001
 2007 Mercedes-Benz ML 63   Ml 63 Amg ,"Lower Hutt City, Wellington ","   183,000km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Silver ,, :   NZ New ,    Jul 2022 ,    Apr 2022 ,"$15,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/mercedes-benz/ml-63/listing/3284445108?rsqid=9e30950b1f6f47ef8b977b046071afe5-001
 2015 Toyota Axio   Toyota Corolla Axio Hybrid ,"North Shore, Auckland ","   88,750km ",   Sedan ,   5 ,   Hybrid ,,   Automatic ,    Silver ,    1 owner , :   Imported ,    Apr 2022 ,    Apr 2022 ,"$9,750", Reserve met ,https://www.trademe.co.nz/a/motors/cars/toyota/axio/listing/3284510907?rsqid=9e30950b1f6f47ef8b977b046071afe5-001
 2015 Nissan Leaf ,"Darfield, Canterbury ","   43,900km ",   Hatchback ,   5 ,   Electric ,,   Automatic ,    White ,    1 owner , :   Imported ,    Mar 2022 ,    Feb 2022 ,"$13,800", No reserve ,https://www.trademe.co.nz/a/motors/cars/nissan/leaf/listing/3284529795?rsqid=9e30950b1f6f47ef8b977b046071afe5-001
 1999 Nissan   Van ,"Dunedin, Otago ","   320,000km ",   Van ,   3 ,   Diesel ,,   Manual ,    White ,    5+ owners , :   Imported ,    Expired ,    Dec 2021 ,$405.00, Reserve met ,https://www.trademe.co.nz/a/motors/cars/nissan/vanette/listing/3286909381?rsqid=9e30950b1f6f47ef8b977b046071afe5-001
